"question_text","question_type","topic","difficulty","explanation","option_a","option_b","option_c","option_d","correct_answers"
"Nach DIN 69901 ist ein Projekt durch die Einmaligkeit der Bedingungen in ihrer Gesamtheit gekennzeichnet.","true_false","Skript 1","easy","Ein Projekt ist ein einmaliges Vorhaben mit besonderen Bedingungen, nicht bloße Routinearbeit.","Richtig","Falsch","","","A"
"Ein Projekt ist nach der Vorlesung typischerweise eine zyklisch wiederkehrende Tätigkeit ohne klaren Endpunkt.","true_false","Skript 1","easy","Das ist falsch, weil Projekte einmalig und zielorientiert sind.","Richtig","Falsch","","","B"
"Ein klares und messbares Ziel gehört zu den zentralen Merkmalen eines Projekts.","true_false","Skript 1","easy","Die Vorlesung betont, dass Ziel beziehungsweise Scope klar definiert sein müssen.","Richtig","Falsch","","","A"
"Die Abgrenzung gegenüber anderen Vorhaben ist nach DIN 69901 ein mögliches Projektmerkmal.","true_false","Skript 1","medium","Projekte werden unter anderem durch Abgrenzung gegenüber anderen Vorhaben und projektspezifische Organisation beschrieben.","Richtig","Falsch","","","A"
"Projektmanagement besteht ausschließlich aus der Terminplanung eines Projekts.","true_false","Skript 1","easy","Projektmanagement umfasst Führungsaufgaben, Organisation, Techniken und Mittel für mehrere Projektphasen.","Richtig","Falsch","","","B"
"Projektmanagement umfasst nach DIN 69901 auch Initiierung, Definition, Planung, Steuerung und Abschluss von Projekten.","true_false","Skript 1","easy","Diese Phasen werden in der Definition des Projektmanagements ausdrücklich genannt.","Richtig","Falsch","","","A"
"Die projektspezifische Organisation ist für Projekte irrelevant, solange ein Budget vorhanden ist.","true_false","Skript 1","medium","Das ist falsch, weil eine projektspezifische Organisation ausdrücklich zum Projektcharakter gehören kann.","Richtig","Falsch","","","B"
"Projektmanagement ist besonders relevant, weil Digitalisierung, Wettbewerb und kürzere Entwicklungszyklen mehr Veränderungsprojekte erzeugen.","true_false","Skript 1","medium","Die Vorlesung nennt unter anderem neue Technologien, Globalisierung und kürzere Produktlebenszyklen als Treiber.","Richtig","Falsch","","","A"
"Zunehmender Kosten- und Rationalisierungsdruck kann die Bedeutung von Projektmanagement erhöhen.","true_false","Skript 1","easy","Dieser Faktor wird in der Vorlesung als Ursache der wachsenden Bedeutung genannt.","Richtig","Falsch","","","A"
"Der Wandel zum Direktverkauf wird in der Vorlesung als Grund genannt, warum Projektmanagement unwichtiger wird.","true_false","Skript 1","medium","Der Wandel zum Direktverkauf wird als Treiber für eine steigende Bedeutung des Projektmanagements dargestellt.","Richtig","Falsch","","","B"
"Henry Gantt wird in der Vorlesung mit dem Gantt-Diagramm beziehungsweise Balkenplan verbunden.","true_false","Skript 1","easy","Das Gantt-Diagramm dient der zeitlichen Darstellung von Projektschritten.","Richtig","Falsch","","","A"
"Gantt-Diagramme wurden laut Vorlesung historisch unter anderem im Kriegsschiffbau des Ersten Weltkriegs eingesetzt.","true_false","Skript 1","medium","Die Vorlesung nennt diesen Einsatzkontext als historisches Beispiel.","Richtig","Falsch","","","A"
"Activity-Charts wurden laut Vorlesung erst nach Veröffentlichung des agilen Manifests entwickelt.","true_false","Skript 1","medium","Das ist falsch, da Activity-Charts bereits im Kontext des Zweiten Weltkriegs genannt werden.","Richtig","Falsch","","","B"
"Die NASA nutzte laut Vorlesung Ende der 1950er Jahre bereits eigenes Projektmanagement für Luftfahrtprojekte.","true_false","Skript 1","easy","Die Vorlesung nennt NASA-Luftfahrtprojekte als historische Station des Projektmanagements.","Richtig","Falsch","","","A"
"In der Industrie hielt Projektmanagement laut Vorlesung bereits in den 1830er Jahren flächendeckend Einzug.","true_false","Skript 1","medium","Die Vorlesung nennt den Einzug in die Industrie für die 1970er Jahre; 1830 bis 1880 beziehen sich auf frühe Eisenbahnprojekte.","Richtig","Falsch","","","B"
"Das Manhattan Engineering District Project wird in der Vorlesung als Beispiel für frühe Projektmanagement-Ideen und Tools genannt.","true_false","Skript 1","hard","Die Entwicklung der ersten Atombombe wird als historisches Beispiel für PM-Ideen und Tools erwähnt.","Richtig","Falsch","","","A"
"Agiles Projektmanagement hat laut Vorlesung frühe Wurzeln seit 1957.","true_false","Skript 1","medium","Die Vorlesung nennt erste Wurzeln des agilen Projektmanagements seit 1957.","Richtig","Falsch","","","A"
"Das agile Manifest wurde laut Vorlesung im Jahr 2001 veröffentlicht.","true_false","Skript 1","easy","Die Vorlesung ordnet die Veröffentlichung des agilen Manifests dem Jahr 2001 zu.","Richtig","Falsch","","","A"
"Das agile Manifest basiert laut Vorlesung auf zwölf Grundprinzipien.","true_false","Skript 1","easy","Die Folie beschreibt zwölf Prinzipien als formelle Proklamation des agilen Manifests.","Richtig","Falsch","","","A"
"Das agile Manifest fordert, Änderungswünsche in späteren Entwicklungsphasen grundsätzlich abzulehnen.","true_false","Skript 1","medium","Das ist falsch, da Änderungswünsche auch in späteren Entwicklungsphasen angenommen werden sollen.","Richtig","Falsch","","","B"
"Face-to-face-Kommunikation wird in den agilen Prinzipien als besonders gute Kommunikationsbasis hervorgehoben.","true_false","Skript 1","easy","Die Vorlesung nennt Face-to-face als beste Kommunikationsbasis.","Richtig","Falsch","","","A"
"Selbstorganisierte Teams passen zu den in der Vorlesung dargestellten agilen Prinzipien.","true_false","Skript 1","medium","Die Folie nennt Teams, die sich selbst organisieren, als eines der Prinzipien.","Richtig","Falsch","","","A"
"Im klassischen Projektmanagement sind laut Vorlesung Zeit und Aufwand fest, während der Umfang variabel ist.","true_false","Skript 1","medium","Das ist falsch; beim klassischen PM ist der Umfang fest, während Zeit und Aufwand variabel sein können.","Richtig","Falsch","","","B"
"Im agilen Projektmanagement sind laut Vorlesung Zeit und Aufwand eher fest, während der Umfang variabel sein kann.","true_false","Skript 1","medium","Dies beschreibt den Gegensatz zum klassischen Projektmanagement in der Vorlesung.","Richtig","Falsch","","","A"
"Klassisches Projektmanagement arbeitet typischerweise mit Anforderungen, die zu Beginn definiert und danach abgearbeitet werden.","true_false","Skript 1","easy","Die Vorlesung beschreibt dies als Merkmal des klassischen PM.","Richtig","Falsch","","","A"
"Im klassischen Projektmanagement sind Stakeholder laut Vorlesung dauerhaft in jedem Arbeitsschritt eingebunden.","true_false","Skript 1","medium","Das ist falsch, da Stakeholder im klassischen PM eher zu definierten Zeitpunkten eingebunden werden.","Richtig","Falsch","","","B"
"Im agilen Projektmanagement werden Aufgaben aus Backlog beziehungsweise User-Stories gebildet und in Sprints bearbeitet.","true_false","Skript 1","easy","Die Vorlesung nennt Backlog, User-Stories und Sprints als agile Kernelemente.","Richtig","Falsch","","","A"
"Agiles Projektmanagement setzt laut Vorlesung auf ständige Verbesserung der Arbeitsprozesse.","true_false","Skript 1","easy","Ständige Verbesserung wird beim agilen PM ausdrücklich als erwünscht beschrieben.","Richtig","Falsch","","","A"
"Agiles Projektmanagement verlangt laut Vorlesung keine Mitwirkung von Stakeholdern.","true_false","Skript 1","medium","Das ist falsch, da Stakeholder im agilen PM ständig involviert sein und mitarbeiten sollen.","Richtig","Falsch","","","B"
"Das magische Dreieck verdeutlicht Zielkonflikte zwischen Zeit, Kosten und Inhalt beziehungsweise Umfang/Qualität.","true_false","Skript 1","medium","Die Vorlesung zeigt, dass Änderungen an einem Zielbereich Auswirkungen auf andere Zielbereiche haben können.","Richtig","Falsch","","","A"
"Im magischen Dreieck können Stakeholdererwartungen die Bewertung des Projekterfolgs beeinflussen.","true_false","Skript 1","medium","Die Folie bezieht Erwartungen der Stakeholder ausdrücklich in das Projektzielsystem ein.","Richtig","Falsch","","","A"
"Wenn Ressourcen nicht in geplanter Qualität und Anzahl vorhanden sind, kann dies die Projektzielerreichung gefährden.","true_false","Skript 1","easy","Die Vorlesung nennt Ressourcenqualität und Ressourcenanzahl als relevante Einflussgrößen.","Richtig","Falsch","","","A"
"Eine Ausweitung des Scope hat grundsätzlich keine Auswirkungen auf Zeit oder Kosten.","true_false","Skript 1","medium","Das ist falsch, weil Scope, Zeit, Kosten und Ressourcen im Projektzielsystem voneinander abhängig sind.","Richtig","Falsch","","","B"
"Laut Vorlesung erreichen 20 Prozent aller Projekte die ursprünglichen Ziele.","true_false","Skript 1","easy","Die Projektstatistik der Vorlesung nennt 20 Prozent ursprüngliche Zielerreichung.","Richtig","Falsch","","","A"
"Laut Vorlesung müssen 50 Prozent aller Projekte ihre Ziele anpassen.","true_false","Skript 1","easy","Die Folie nennt 50 Prozent Zielanpassung.","Richtig","Falsch","","","A"
