question_text,question_type,topic,difficulty,explanation,option_a,option_b,option_c,option_d,correct_answers
Folgende Aussagen beschreiben ein Projektportfolio im Sinne der Folien korrekt:,multiple_choice,Skript 2,medium,"Ein Portfolio bündelt Projekte mit Gemeinsamkeiten und wird koordiniert, um einen größeren Nutzen zu erzielen.",Es kann Projekte aus derselben Business Unit enthalten,Es kann Projekte aus demselben Ressourcen-Pool enthalten,"Es wird koordiniert, um Doppelarbeit zu vermeiden und Nutzen zu erhöhen",Es besteht zwingend aus nur einem einzelnen Projekt,A|B|C
Folgende Aussagen treffen auf ein Programm im Projektmanagement zu:,multiple_choice,Skript 2,medium,"Ein Programm bündelt Projekte, Sub-Projekte und Aktivitäten, um Benefits oder Synergien zu erzielen.",Es kann aus mehreren Projekten und Sub-Projekten bestehen,"Es wird koordiniert, um Synergien zu erreichen",Es kommt oft bei sehr großen Vorhaben vor,Es ist identisch mit einem einzelnen Arbeitspaket,A|B|C
Folgende Beispiele passen laut Folien typischerweise zu Programm-Kontexten:,multiple_choice,Skript 2,easy,"Programme kommen bei sehr großen Vorhaben vor, etwa in Luftfahrt, Automobilindustrie oder IT-Infrastruktur.",Luftfahrt-Branche,Automobilindustrie,IT-Infrastrukturprojekte großer Unternehmen,Ein einzelnes kleines Tagesgeschäft ohne Projektcharakter,A|B|C
Folgende Knowledge-Felder gehören zur PMBOK-orientierten Darstellung in den Folien:,multiple_choice,Skript 2,medium,"Die Grafik nennt unter anderem Scope, Time, Cost, Quality, Risk und Communications Management.",Scope Management,Time Management,Risk Management,Payroll Management,A|B|C
Folgende Soft Skills werden in den Folien als Anforderungen im Projektkontext genannt:,multiple_choice,Skript 2,easy,"Die Folie nennt unter anderem kommunikative Kompetenz, Konfliktfähigkeit, Flexibilität und vernetztes Denken.",Kommunikative Kompetenzen,Kooperation und Konfliktfähigkeit,Flexibilität beziehungsweise Agilität,Reine Einzelarbeit ohne Abstimmung,A|B|C
Folgende Phasen gehören zu den wichtigsten Projektphasen der Folien:,multiple_choice,Skript 2,easy,"Die Folie zeigt Vorbereitung, Planung, Durchführung und Abschluss als zentrale Phasen.",Vorbereitung,Planung,Durchführung,Abschluss,A|B|C|D
Folgende Aufgaben gehören zur Vorbereitungsphase eines Projekts:,multiple_choice,Skript 2,medium,"Zur Vorbereitungsphase gehören Projektentscheidung, Projektauftrag, Scope-Klärung und Projektorganisation.",Projektentscheidung und Projektauftrag herbeiführen,Ziel- beziehungsweise Scope-Klärung,Projektorganisation vorbereiten,Projektabschlussbericht nach Beendigung aller Tätigkeiten erstellen,A|B|C
Folgende Aufgaben sind in der Durchführungsphase besonders relevant:,multiple_choice,Skript 2,medium,"Die Durchführungsphase umfasst Steuerung, Controlling, Termin- und Kostenüberwachung sowie Dokumentation.",Steuerung der Projekttasks,Controlling von Terminen und Kosten beziehungsweise Budget,Dokumentation und Berichte,Erstmalige Definition des Projektauftrags nach Projektende,A|B|C
Folgende Aufgaben laufen phasenübergreifend im Projektmanagement:,multiple_choice,Skript 2,medium,"Führung, Kommunikation, externe Koordination und Meetings mit Dokumentation begleiten alle Projektphasen.",Führung des Projektteams,Kommunikation im Projektteam,Koordination und Kommunikation extern,Verzicht auf Dokumentation bis nach Abschluss,A|B|C
Folgende Inhalte gehören laut Folien zu den Tasks der Vorbereitungsphase:,multiple_choice,Skript 2,medium,"Die Vorbereitung umfasst Ziele, Grobplanung, Organisation, Verantwortlichkeiten, Stakeholder, Risiken und Kommunikation.",Projektziele klären,Stakeholder- beziehungsweise Umfeldanalyse durchführen,Risikomanagement vorbereiten,Ist-Kosten endgültig abrechnen,A|B|C
Folgende Aussagen beschreiben Projektstart als Ereignis und als Phase korrekt:,multiple_choice,Skript 2,hard,Projektstart kann als Entscheidungspunkt oder als eigene Phase bis zum Kickoff verstanden werden.,Als Ereignis kann er die Entscheidung eines Gremiums zur Projektdurchführung sein,Als Phase kann er eine festgelegte Dauer bis zum Kickoff-Meeting haben,Als Phase umfasst er vorbereitende Klärungen,Er ist immer ausschließlich die Abschlussabnahme beim Kunden,A|B|C
Folgende Fehler einer unprofessionellen Projektvorbereitung werden in den Folien genannt:,multiple_choice,Skript 2,medium,"Häufige Fehler sind unklare Ziele, fehlende Stakeholder-Einbindung, ungeklärte Zuständigkeiten und verdrängte Risiken.",Projektziele und Scope sind nicht sauber definiert,Stakeholder werden nicht einbezogen,Risiken werden ausgeblendet,Qualitätsmanagement wird konsequent und sauber eingerichtet,A|B|C
"Eine klare Zieldefinition beziehungsweise Scope-Klärung ist wichtig, weil:",multiple_choice,Skript 2,medium,"Sie schafft Planungsgrundlage, gemeinsames Verständnis, weniger Abstimmungsprobleme und ermöglicht Controlling.",Sie ist Basis für eine sichere Planungsgrundlage,Sie hilft beim Abstimmen der Projektziele zwischen Auftraggeber und Projekt,Sie ist Voraussetzung für effektives Projektcontrolling,Sie macht Kommunikation mit Stakeholdern grundsätzlich überflüssig,A|B|C
Folgende Aussagen zum Wirtschaftlichkeitsprinzip sind korrekt:,multiple_choice,Skript 2,hard,Das Wirtschaftlichkeitsprinzip zielt auf Minimal- oder Maximalprinzip und eine günstige Relation von Einsatz und Ergebnis.,Beim Minimalprinzip wird ein bestimmter Erfolg mit geringstmöglichem Mitteleinsatz angestrebt,Beim Maximalprinzip wird mit gegebenem Mitteleinsatz der größtmögliche Erfolg angestrebt,Projekte sollen nach einer günstigen Relation geplant werden,"Zeit, Kosten und Ressourcen sind für die Wirtschaftlichkeit irrelevant",A|B|C
Folgende Inhalte passen zur Machbarkeitsstudie beziehungsweise Wirtschaftlichkeitsprüfung:,multiple_choice,Skript 2,medium,"Machbarkeitsstudien und Wirtschaftlichkeitsberechnungen unterstützen die Entscheidung, ob und wie ein Projekt umgesetzt wird.",Prüfung wirtschaftlicher und technischer Realisierbarkeit,Bewertung der Umweltverträglichkeit und strategischen Passung,Kosten-Nutzen-Analyse oder Nutzwert-Analyse als Bewertungsverfahren,Verzicht auf jede Prüfung vor Projektstart,A|B|C
Folgende Qualitätsmerkmale können laut Folien bei Projektergebnissen relevant sein:,multiple_choice,Skript 2,easy,"Die Folien nennen unter anderem Fehlerfreiheit, Robustheit, Zuverlässigkeit, Lebensdauer, Funktionsumfang und Kundenzufriedenheit.",Fehlerfreiheit,Zuverlässigkeit,Kundenzufriedenheit,Zufällige Zieländerung ohne Abstimmung,A|B|C
